40960:866,70,81,616,650,76,654,17,84,302,8,58,29
51479:866,70,81,616,650,76,654,17,84,302,8,58,29
30189:866,70,81,616,650,76,654,17,84,302,8,58,29
16388:866,70,81,616,650,76,654,17,84,302,8,58,29
24581:866,70,81,616,650,76,654,17,84,302,8,58,29
6983:866,70,81,616,650,76,654,17,84,302,8,58,29
7:866,70,81,616,650,76,654,17,84,302,8,58,29
8200:866,70,81,616,650,76,654,17,84,302,8,58,29
32780:866,70,81,616,650,76,654,17,84,302,8,58,29
8206:866,70,81,616,650,76,654,17,84,302,8,58,29
24591:866,70,81,616,650,76,654,17,84,302,8,58,29
18:866,70,81,616,650,76,654,17,84,302,8,58,29
19:866,70,81,616,650,76,654,17,84,302,8,58,29
8184:866,70,81,616,650,76,654,17,84,302,8,58,29
8217:866,70,81,616,650,76,654,17,84,302,8,58,29
16411:866,70,81,616,650,76,654,17,84,302,8,58,29
10693:866,70,81,616,650,76,654,17,84,302,8,58,29
32773:866,70,81,616,650,76,654,17,84,302,8,58,29
8224:866,70,81,616,650,76,654,17,84,302,8,58,29
8225:866,70,81,616,650,76,654,17,84,302,8,58,29
8227:866,70,81,616,650,76,654,17,84,302,8,58,29
36:866,70,81,616,650,76,654,17,84,302,8,58,29
37:866,70,81,616,650,76,654,17,84,302,8,58,29
16422:866,70,81,616,650,76,654,17,84,302,8,58,29
2737:866,70,81,616,650,76,654,17,84,302,8,58,29
41:866,70,81,616,650,76,654,17,84,302,8,58,29
42:866,70,81,616,650,76,654,17,84,302,8,58,29
43:866,70,81,616,650,76,654,17,84,302,8,58,29
44:866,70,81,616,650,76,654,17,84,302,8,58,29
45:866,70,81,616,650,76,654,17,84,302,8,58,29
46:866,70,81,616,650,76,654,17,84,302,8,58,29
24623:866,70,81,616,650,76,654,17,84,302,8,58,29
32776:866,70,81,616,650,76,654,17,84,302,8,58,29
32819:866,70,81,616,650,76,654,17,84,302,8,58,29
8245:866,70,81,616,650,76,654,17,84,302,8,58,29
32822:866,70,81,616,650,76,654,17,84,302,8,58,29
24631:866,70,81,616,650,76,654,17,84,302,8,58,29
